titulo,institución,url_curso,id_curso,reseñas,revisores,fecha_reseñas,valoración
Creative Problem Solving,University of Minnesota,https://www.coursera.org/learn/creative-problem-solving,creative-problem-solving,"The assignments do not give you any practical methods for actual problem solving. They're just a succession of activities that pretend to be creative by making you do things ""you wouldn't normally do"". It's like they forgot the part about ""problem solving"".The assignments are to eat foods you've never eaten, talk to people you wouldn't normally talk to, take a photo of yourself smooching someone/something, and to ""give"" something to someone you ""never have given anything before"". That is not creative nor helpful at problem solving. It's just a series of activities for people who have too much time on their hand and need something to do to get out of their routine.Not a course I would recommend for anyone wanting to gain useful skills.",By Laura V,"Feb 03, 2016",1
"Sleep: Neurobiology, Medicine, and Society",University of Michigan,https://www.coursera.org/learn/sleep,sleep,"Wanted to enroll in Honors Tract, was not able. Professors seem more interested in talking about course than teaching something. Logistical presentation of course very poor. Impossible to get help.",By Michael V,"Sep 13, 2020",1
COVID-19: What You Need to Know (CME Eligible),Osmosis,https://www.coursera.org/learn/covid-19-what-you-need-to-know,covid-19-what-you-need-to-know,i need certificate,By Deleted A,"Mar 31, 2020",1
Classical Sociological Theory,University of Amsterdam,https://www.coursera.org/learn/classical-sociological-theory,classical-sociological-theory,"Really enjoyed the course subject, but the over-reliance on one textbook that isn't available online was a real problem. Although I read the alternative readings instead, that wasn't sufficient to pass the test questions, which were all very specifically about the readings that were behind paywalls. Seems to go against the whole point of running a MOOC in the first place. Also seems odd to rely on a textbook rather than the source text given the stated course aims.Also, rehashing each question three times seemed like a cop-out - why bother with a final test when you've already done all the questions earlier?",By Alex S,"Mar 11, 2020",2
Electric Industry Operations and Markets,Duke University,https://www.coursera.org/learn/electricity,electricity,"This course needs major upgrades. I got degree/certificates from others well known universities like Centrale Paris, Stanford, Berkeley, Rice. But this course is not at level of a university. The content is not complete missing foreign market which moved from government owned to public. The content is not up-to-date, the data are at least 5 year old, they are old analysis on the changes to renewable (E.g. Texas has 20% renewable). The content is not touching the future market with IoT technologies, MicroGrid solutions, Consumer become producer.The content does not touch the current research like what the main topics of NREC.The presentation is a poor melting pot of powerpoint took from others.I was almost cancelled my purchase but I did not it give this feedback to help others.",By vincent P p,"Jul 07, 2020",1
Preparing for the Google Cloud Professional Cloud Architect Exam,Google Cloud,https://www.coursera.org/learn/preparing-cloud-professional-cloud-architect-exam,preparing-cloud-professional-cloud-architect-exam,"I felt that this course has a lot of room for improvement.I rely on reading along with subtitles, so I was frustrated to find there were numerous transcription errors. I flagged some specific problems, but there were flagrant transcriptionerrors on every single topic, so they really need a thorough review.The material in the course was quite outdated, and seemed to be of 2017–2018 vintage. There are several GCP product naming and functionality changes that affect the material. For example, an exam question asks which product is best used for sending GCS objects to Cloud Functions, whereas the two products can now talk directly to each other.The voiceover narration was frustrating and hard to follow. It is obvious the narrator was reading from an autocue with no separation between headings, paragraphs, or sections. The whole thing did not logically flow. He would be explaining a concept, and there would be random strange sentences which didn't feel like they belong, and only much later realised he was reading out random parts of the slide in a non-logical manner.Many of the practice sections (in the middle of a talk, it would pause and ask me to consider my answer), however the pauses and prompts were placed in the wrong area. For example, it would tell me the answer, and at the end of the answers, would ask me to consider what the answer would be right after it told me. This is likely a transcription error on the part of the person inputting the data into the course, but it really detracted from the learning experience.Overall I think the course was not worth my time. I have several other teammates who will be studying for the GCP Cloud Architect certification, and I will be recommending they do not take this course.",By Jeremy V,"Aug 28, 2020",1
Effective Business Presentations with Powerpoint,PwC,https://www.coursera.org/learn/powerpoint-presentations,powerpoint-presentations,"The website will not let me upload either my week 3 or week 4 assignment, thus, I can't get a grade for either and can't pass the course. It also will not let me review peer work since it's contingent on uploading my own assignment.",By Matthew F,"Aug 01, 2018",1
More Introduction to Financial Accounting,University of Pennsylvania,https://www.coursera.org/learn/wharton-financial-accounting,wharton-financial-accounting,"The final exam was not adequately reflected in the content covered in lecture. Much of what was covered in lecture never appeared in either the homework or the final, and several questions on the final were, at best, glossed over or mentioned in passing. I have a VERY strong math background and am completing my MS in Business Analytics, however, the final exam took me over 12 hours to complete because of the lack of topic coverage, either in breadth or in depth, during the lecture. Additionally, I found several of the test items to be poorly worded, leading to confusion as to what the professor was looking for in the answer. I would NOT recommend this course unless you already have a firm grasp of all the concepts and just need a certificate to prove it.",By DAniel C,"Aug 25, 2020",1
Cryptocurrency and Blockchain: An Introduction to Digital Currencies,University of Pennsylvania,https://www.coursera.org/learn/wharton-cryptocurrency-blockchain-introduction-digital-currency,wharton-cryptocurrency-blockchain-introduction-digital-currency,US centric course (without a word of warning that it is non global one).,By Denys P,"Oct 24, 2019",1
Think Again I: How to Understand Arguments,Duke University,https://www.coursera.org/learn/understanding-arguments,understanding-arguments,"I do not want to rate this course at this stage but I would like to make the following comment in relation to the course resources and in particular the answers to the exercises in the optional text book.For students who do not have a copy of the text book, providing
answers to questions from the text book without showing the actual questions is
not very useful and to be quite frank, ridiculous. I would like to think that the course designers would take some sort of appropriate action to remedy this.How exactly this would be done is up to the course designers but
I would suggest that another downloadable PDF document showing all the
questions would be extremely useful and necessary.I look forward to a response.Regards, Trevor Farley",By Trevor F,"Sep 05, 2016",1
Developing Your Musicianship,Berklee College of Music,https://www.coursera.org/learn/develop-your-musicianship,develop-your-musicianship,"The course materials are well done, but unless you pay for the class, you have difficulties completing material week to week. For example, you can not take any of the multiple choice tests (and unless you pay, of course you can't submit assignments, which is fine).  Then, you are said to be overdue or locked out for the next week's classes because you did not complete the assignments.  There is a workaround it, which is tedious and time-consuming (you have to redo information from the prior week) and not where I want to spend my time.  Other classes allow you to audit the class, even take multiple choice quizzes (which can be machine graded), without being ""pushed"" to pay for the class.There were also times it was impossible to log into the class due to a slow system.  Then, once logged in, you have to ""redo"" prior week's stuff to move ahead.  Ridiculous.",By Lynette,"May 01, 2020",1
Introduction to Operations Management,University of Pennsylvania,https://www.coursera.org/learn/wharton-operations,wharton-operations,"I understand that if you're reading this, it's probably already too late, but if not, I'd strongly advise that you research better opportunities to learn this material. First, the presentation is poor. This feels like it would be a state of the art course in 2007, but is very archaic now. The powerpoints are sloppy, there's no editorial oversight, the audio quality is very bad, and it is harder to focus than it needs to be. They need the instructor from the Corporate Finance course to come in here and teach this team how to make a powerpoint that's legible. Second, which is a problem I've had with other Coursera Wharton products, is the disconnect between the lectures, the practice, and the assignments. Things are left out or left to your own intuition, and you're on your own. The discussion forums are a great idea, but are totally neutered by the Coursera Honor Code which forbids students from discussing the assignments in any real detail. The Mentors are largely useless due to this limitation. This course should take note from the Financial Accounting course, which was similar in difficulty but worked you through every step of every possible problem type, and met you with challenging but doable assignments. Third, is basic quality control. There are typos, self-contradicting statements, etc., that have remained unfixed in this material over the course of years (lectures are six years old I've gleaned). I'm astounded that Wharton is willing to put its brand name on a packaged product of this quality. Ironically enough, you're often sitting through a lecture about process integrity and quality assurance-related topics. In sum, my experience in this course was mainly fighting against the class itself, not the material. Trying to figure out what the question means, what it's asking, rather than doing the math or remembering whatever function or logical process. It's really disappointing to have spent all this time on this course and the Business Foundations certificate program, when the utility per hour is so very very low. A complete rework is in order, if for no other reason than to get the instructor a new mic and have some grad assistant put together a nice sharp powerpoint instead of forcing students to read chicken scratches (which don't remain on the slides, so you better take really fast notes!)",By Nicholas J C,"Mar 13, 2019",1
The Oral Cavity: Portal to Health and Disease,University of Pennsylvania,https://www.coursera.org/learn/oralcavity,oralcavity,It should be more specific ,By Alejandro G S,"Jan 11, 2018",3
Preparing for the Google Cloud Associate Cloud Engineer Exam,Google Cloud,https://www.coursera.org/learn/preparing-cloud-associate-cloud-engineer-exam,preparing-cloud-associate-cloud-engineer-exam,One of the worst online training I've completed. Topics shattered to small pieces and somehow not gluing together. Presented speaking in the way I couldn't understand him. Very basic topics not allowing me to start working with GCP. Waste of time.,By MICHAŁ P,"Mar 16, 2020",1
Fundamental Neuroscience for Neuroimaging,Johns Hopkins University,https://www.coursera.org/learn/neuroscience-neuroimaging,neuroscience-neuroimaging,"The course slides are good. But the subject presentation and explanation is very poor. The instructor just reads from some notes, and never explains anything. Moreover, the instructor often misspells many terms and struggles to recall terminology previously read out by him in some earlier video.Overall, I would not recommend this course to anyone.",By Utkarsh S,"May 27, 2019",1
European Business Law: Understanding the Fundamentals,Lund University,https://www.coursera.org/learn/european-law-fundamentals,european-law-fundamentals,"The information was OK, but not very interesting (it's like it was all theory and almost no application) the professors read everything through a teleprompter (I could tell), I wish they had explained in their own words everything and not so much as a robot (and more dynamic too!), I was more interested in reading the course than by watching the videos, I was actually bored and hoped much more from this course. I hope it improves in the future. I took a Contracts course from Harvard Edx and it was amazing! The professor made everything so interesting and learned a lot there, I was hoping this course would be like that one.",By Eugenia C O,"Aug 23, 2020",1
Teach English Now! Teaching Language Online,Arizona State University,https://www.coursera.org/learn/teachlanguageonline,teachlanguageonline,"It's awful. Most of quizes are incorrect with answers, that students can't find in the course videos. For example, quiz 2 in week 4 has questions that we even haven't heard before. In order to have 100% for quiz 1 in week 1 you must choose incorrect answer in question 7 (or it doesn't relate to this week). What is more, you need to pay approximately 25 dollars for that profanation! I've already passed three courses from ASUs' TESOL certification, and those courses were awesome, they have really helped me in my present career. But, nevertheless, this course is a shame for the entire Arizona State University. Fix it, please, or don't lie to your students!",By Ринат Т,"Apr 07, 2020",1
Front-End Web Development with React,The Hong Kong University of Science and Technology,https://www.coursera.org/learn/front-end-react,front-end-react,Course is backdated. Poor coding style. Poor approach. I started a project after watching this. I needed to reimplement everything and forget everything I learnt from here.,By Syed M M H,"Oct 08, 2019",1
Music Business Foundations,Berklee College of Music,https://www.coursera.org/learn/music-business-foundations,music-business-foundations,It is 2019  This is OUTDATED,By David B,"Mar 05, 2019",2
Introduction to Business Analytics: Communicating with Data,University of Illinois at Urbana-Champaign,https://www.coursera.org/learn/intro-business-analytics,intro-business-analytics,"course contents are really poor. the multi-choice quiz is nonsense. for the data visualization course, ask what's the oil consumption in barrels in the US for a year? the multi-choice answer is ridiculous. I need to choose amongst ridiculous numbers. also, some true/false choice answer doesn't have the correct one. for instance, first chance, if I choose true, so I got the wrong result (although it should be the answer), then the next round chooses false, then I got again the wrong result. mediocre class. ",By Seok L,"Jun 07, 2020",1
Machine Learning Foundations: A Case Study Approach,University of Washington,https://www.coursera.org/learn/ml-foundations,ml-foundations,"The materials used in this course are extremely outdated. In order to access the data to do the projects you have to use SFrame, which is only supported up to Python 3.4.x. Python is currently on v 3.7.0. The data should be provided as .txt or .csv to be more universal. The instructors claim that you don't have to use a specific library to do this course, but you have to have at least SFrame in order to access the data! Further I am sure SFrame and Graphlab are good tools, but the course should be taught with open source tools so that the students can continue to use those tools after the course is over. I wanted to like this course. I did enjoy the professor's teaching styles, but the fact that I would have to download a new outdated python environment, and non universally accepted tools, to even access the data is a major deal breaker! ",By Ravi P,"Sep 08, 2018",1
Accounting Analytics,University of Pennsylvania,https://www.coursera.org/learn/accounting-analytics,accounting-analytics,"First of all, I really enjoyed Professor Ittner's presentations.  Sadly, his presentation was only 25% of the course.  Professor Ittner was very direct but also was very engaging in how he delivered his content.  I had a good feeling that I could really understand the material he was teaching.  If I could give a rating for just Professor Ittner, I would give a 5 star rating.  Now, this is why I am giving this course a 1 star rating.  But I do have to say, going into the depths of Accounting Analytics is not easy.  You really need to have a good grasp of Accounting otherwise you will get lost.  Professor Bushee did not make the first 3 weeks really easy to get through.  While I enjoyed his examples & case studies, he simply did not do a great job of really explaining and illustrating the concepts he was teaching.  And worst of all, he setup a digitally generated classroom where he had his computer generated students ask pointless questions, make pointless statements, or answer with pointless statements/answers.  I really wish I had the time to analyze how much of the course time he spent doing this, I would estimate that it's around 10% but it could very well be higher.  There are so many different examples to pick form, but I'll just pick a few here.  ""I didn't read the Iliad or Odyssey some I'm not going to ask you to"" in reference why in regression there are Greek letter used for coefficients (it's a fair assumption that someone taking this class understands coefficients), a 30 second exchange where a PC generate student says that they're ""stocked"" to run some regression followed by Proffessor Bushee informing us that ""we're going to run some narly regressions"", Professor Bushee saying he doesn't know how to perform Earning Management Analysis on Mars but he certainly knows how to do it on Earth, and a joke why people don't like accountants.  These segments add absolutely zero value.  They lengthen the time of the course.  To make maters worse, I'm sure Proffessor Bushee had to spend even more time creating this additional interaction together.",By Nick S,"Apr 26, 2017",1
Strategic Business Management - Microeconomics,"University of California, Irvine",https://www.coursera.org/learn/strategic-business-management-microeconomics,strategic-business-management-microeconomics,nice class; but I think some of the after class questions are not clear; maybe wrong to some degree,By Junjie L,"Jul 07, 2019",3
"Epidemics, Pandemics and Outbreaks",University of Pittsburgh,https://www.coursera.org/learn/epidemic-pandemic-outbreak,epidemic-pandemic-outbreak,No I don't like it because free course but it asks money,By Devaraj,"Apr 28, 2020",1
Roman Architecture,Yale University,https://www.coursera.org/learn/roman-architecture,roman-architecture,Started to take the course; but found it far to confusing.  I am no longer interested.  Joyce Underwood,By Joyce U,"Mar 12, 2019",1
Research Data Management and Sharing,The University of Edinburgh,https://www.coursera.org/learn/data-management,data-management,"I probably should wait to finish this course before reviewing, but I'm halfway through and have found my motivation gone--I'm finishing it just to finish it. The delivery adds nothing to the content, especially as much of it is simply the presenters reading lists also shown on screen. Class content would better serve the students as a searchable PDF. And why are there super-specific questions on quizzes about things like what specific funders require in a grant proposal? That's information that you look up when you need it, not that you quiz people on. This class is a let down.",By Johanna G,"Sep 07, 2016",2
Introduction to Genomic Technologies,Johns Hopkins University,https://www.coursera.org/learn/introduction-genomics,introduction-genomics,"I have done the data sciences specialization from JHU and that was 4 star on 5. Compared to that, this specialization is pretty bad.Not worth doing this specialization. Instructors are clueless on the plan",By Kiran,"Apr 24, 2017",1
Strategic Management,Copenhagen Business School,https://www.coursera.org/learn/strategic-management,strategic-management,"The actual material in the course is fascinating and quite useful but, as is common with so many Coursera courses, the enjoyment of completing the course is severely hampered by the requirement to review the final assignment of other students.  The purposes of these courses is to learn from experts in the field not to grade the work of others.  I wish Coursera would really stop professors from pushing their responsibility- grading the work of the students and offering THEIR feedback- onto the students who may or may not have a firm grasp of the material in question.",By Stephen R,"Oct 04, 2015",1
Cybersecurity Compliance Framework & System Administration,IBM,https://www.coursera.org/learn/cybersecurity-compliance-framework-system-administration,cybersecurity-compliance-framework-system-administration,"Never use staistics to prove skills and why the heck would you make this certificate a ""payed""one?!",By Pavel R,"Mar 12, 2020",1
Legal Tech & Startups,IE Business School,https://www.coursera.org/learn/legal-tech-startups,legal-tech-startups,The speaker's level of english was insulting. Some parts of the course were just covered up platforms for promoting his own companies.,By Isaac D L T,"Feb 01, 2019",1
Introduction to Chemistry:  Reactions and Ratios,Duke University,https://www.coursera.org/learn/intro-chemistry,intro-chemistry,Waste of time. Hard to follow. Jumpy. Moves too quickly. Expects you to know the answer before even explaining how to find it. A joke. ,By Ian S,"Apr 17, 2020",1
The Science of Stem Cells,American Museum of Natural History,https://www.coursera.org/learn/stem-cells,stem-cells,Good,By S. R,"Jul 09, 2020",1
The Business of Product Management I,Advancing Women in Product,https://www.coursera.org/learn/the-business-of-product-management-one,the-business-of-product-management-one,"I loved this class.  It helped me learn a few new things but also remember the thing that I did not think were important, but really are.  I had a hard time with some of the language syntax in the questions, but loved the class over all and really want to continue and expand my career in product!!!!",By Stacey W L,"Sep 22, 2020",4
Positive Psychology: Resilience Skills,University of Pennsylvania,https://www.coursera.org/learn/positive-psychology-resilience,positive-psychology-resilience,The course it seems good but cant rake it now un-enroll me please,By Paulina N,"Sep 23, 2020",1
AI for Medical Prognosis,DeepLearning.AI,https://www.coursera.org/learn/ai-for-medical-prognosis,ai-for-medical-prognosis,"The videos were too short and seem to be missing some critical information that was included on the tests. The assignments, from a program structure perspective, were hard to follow. Lastly, I was a little disappointed on the lack of AI concepts included.",By Scott V,"Apr 29, 2020",2
Antibiotic Stewardship,Stanford University,https://www.coursera.org/learn/antibiotic-stewardship,antibiotic-stewardship,"It is hell, the course is just switching the deadlines, i already have completed my whole course, but haven't received my certificate yet. why ? there is no one who would solve my query or provide me proper guidance.   ",By Rabia B,"Jun 08, 2020",1
UX / UI: Fundamentos para o design de interface,Universidade de São Paulo,https://www.coursera.org/learn/ux-ui-design-de-interface,ux-ui-design-de-interface,"Pra um curso de UX, o áudio e o vídeo são uma enorme decepção, gera uma péssima experiência e tive grande dificuldade em acompanhar o conteúdo pela baixa qualidade.",By Samara A,"Jul 24, 2019",1
EMT Foundations,University of Colorado System,https://www.coursera.org/learn/emt-foundations,emt-foundations,"This course is missing a lot of content. For example there are several practice quizzes that are not available. Most of the links are no longer working. Plus, no one from Coursea or the University has bothered to even fix these issues. There are comments in the forums from 2 years ago talking about these problems. Oh and if you message Coursea they don't respond. :) Super wonderful. ",By Monique M,"Aug 21, 2020",2
Industrial IoT on Google Cloud Platform,Google Cloud,https://www.coursera.org/learn/iiot-google-cloud-platform,iiot-google-cloud-platform,Thought that it's for beginners. But no all the concepts told are very unclear for newbies. Also the course is very fast. Materials provided for the course are very complex to understand. The problem is the materials or lecture notes that are provided should be taught first. Only after that anyone can understand easily. Like the other courses on Coursera does. Being a newbie I am very much displeased with the course.,By Saurabh K,"Apr 27, 2020",1
"Penetration Testing, Incident Response and Forensics",IBM,https://www.coursera.org/learn/ibm-penetration-testing-incident-response-forensics,ibm-penetration-testing-incident-response-forensics,"The quality of this course is very disappointing. Incorrect information is provided in the very first video of the course. The lack of ability to demonstrate proficiency to record lectures with quality audio and video leaves one doubting the technical capabilities of the instructor to use even the most basic technology, let alone demonstrate proficiency in more advanced topics. This course diminishes the reputation of IBM.",By Jeff N,"Jul 12, 2020",1
Database Management Essentials,University of Colorado System,https://www.coursera.org/learn/database-management,database-management,"Almost exclusively peer marked assessment and although you can learn from peer marking there is no incentive for other people to mark your work properly. Many people just appear to give everything full marks and the comment ""great"" or ""nice"" or even just a full stop to meet the comment requirement. When not giving full marks not one person put a comment to explain why they haven't given full marks and if the person marking your work doesn't fully understand the material they are just as likely to mark it correct when it is not as they are not sure about the material.  ",By Judith G,"Feb 22, 2019",1
Advertising and Society,Duke University,https://www.coursera.org/learn/role-of-advertising,role-of-advertising,"Interesting topics, but not taught in the most interesting way. The professor answered in his lecture videos some of my basic questions about advertising, but I don't think that he made the class very exciting and I didn't feel motivated to seek out outside material. I'm glad I took this course, but I don't think that I would recommend it to many other people.",By Erik T,"Apr 26, 2017",3
Everyday Chinese Medicine,The Chinese University of Hong Kong,https://www.coursera.org/learn/everyday-chinese-medicine,everyday-chinese-medicine,Not a good course by facilitators,By Arshad R,"Aug 27, 2020",1
Fundamentals of Machine Learning for Healthcare,Stanford University,https://www.coursera.org/learn/fundamental-machine-learning-healthcare,fundamental-machine-learning-healthcare,"It is really good overview for people coming from a commercial background but it is done in a pretty fast manner such that I need to listened into videos again to appreciate the concept. A lot more work and reading needed to really get myself on board. I suggest a even more basic AI course prior to this module. Otherwise, if you are from Healthcare, the first 2 modules structure overviews (also very good but more US-centric) are good revisions and segway into the later module.",By Claudia K,"Oct 08, 2020",4
New Approaches to Countering Terror: Countering Violent Extremism,"University of Maryland, College Park",https://www.coursera.org/learn/countering-terror-violent-extremism,countering-terror-violent-extremism,"The videos that are designed to deliver the lectures are of lecturers monosyllabically delivering the material which can be off putting. However, the social studies aspect of this course and understanding the wider application to governmental policy making is very interesting. ",By Scott P,"Jul 08, 2020",3
Magic in the Middle Ages,Universitat de Barcelona,https://www.coursera.org/learn/magic-middle-ages,magic-middle-ages,"Such a poorly designed and executed course. It seems thrown together without any attention to learning design and without clear learning outcomes and objectives. We were bombarded with names and facts without being offered any analysis, commentary or opportunities for critical reflection. The course was never tied to grander themes about history/humanity/ science or to contemporary events. The videos were almost completely devoid of visuals. Illuminated manuscripts and artworks could have been used to engage students’ visual senses. Week 4 was absolutely terrible. It was like watching a head read an encyclopedic entry. Why did we have to memorize the name Maslama Ibn Qāsim al-Qurṭubī, for instance? This is a serious question. My recommendation is to get an instructional designer or someone with pedagogical knowledge and expertise review the course and offer suggestions. It’s a shame that such an interesting topic was presented in such a terrible, mundane manner. I’d paid in advance for the certificate because I was very excited about the subject matter, but would have never gotten past Week 1 if I hadn’t made a financial commitment.",By Natascha C,"Jan 30, 2020",1
Challenging Forensic Science: How Science Should Speak to Court,University of Lausanne,https://www.coursera.org/learn/challenging-forensic-science,challenging-forensic-science,Difficult but interesting course. Topic (but then its math) is still a little abstract. Discussion could  be clearer. ,By Maria C F L,"Aug 26, 2020",3
Exploring Renewable Energy Schemes,University of Pennsylvania,https://www.coursera.org/learn/exploring-renewable-energy,exploring-renewable-energy,"The course is too basic, there are no equations, no specific descriptions of the types of PV systems, software to calculate energy yields, nothing.  More than that, there are no prepared technical slides or relevant images, is just the professor talking and talking.... and talking. ",By Carlos J H S,"Mar 27, 2020",1
Paleontology: Theropod Dinosaurs and the Origin of Birds,University of Alberta,https://www.coursera.org/learn/theropods-birds,theropods-birds,"Interesting subject, but not much content and assessments are way too short. More variety in assignments would be nice too.",By Kent R C,"Mar 05, 2016",2
Corporate Strategy,UCL School of Management,https://www.coursera.org/learn/corporatestrategy,corporatestrategy,"Excellent step-by-step introduction to Corporate strategy, with all technical terms precisely defined, and plenty of very interesting reading from Faculty at the vanguard of research in the domain. Introduction to the use of insightful frameworks and methods so that one can quickly seize the important issues of a multi-business environment. I could not participate to all activities of the course and wish I could have asked more tips on how to collect the basic financial values that were used as material when applying several analytical methods. The lecturer is very easy to understand. The only let down: the quizzes were a bit too easy to my taste. My curiosity to explore more  was definitely aroused. Any Advanced Corporate Strategy course?",By Stephane A V,"Feb 14, 2018",4
Getting Started with Essay Writing,"University of California, Irvine",https://www.coursera.org/learn/getting-started-with-essay-writing,getting-started-with-essay-writing,"Perhaps this class would be good for a non - native english speaker. I went through the first, maybe, five videos. From what I could tell, I learned all of the stuff in this class by the age of 10. If this class is for people who english is a second language, it should be more obviose.",By Hannah T,"Feb 04, 2016",1
Actualización en el manejo del paciente con diabetes mellitus tipo 2,Universidad Nacional Autónoma de México,https://www.coursera.org/learn/actualizacion-manejo-diabetes-tipo-2,actualizacion-manejo-diabetes-tipo-2,NO ME DEJA DAR MI CERIFICADO Y NO ME PUEDO COMUNICAR CON NADIE. TENGO EL RECIBO DE MI PAGO PARA PROBAR QUE YA PAGUE. NO HAN PASADO 180 DÍAS Y NO HAY ABSOLUTAMENTE NADIE QUE ME AYUDE. NECESITO AYUDA INMEDIATA,By Miriam V R A,"Apr 06, 2020",2
Mastering Final Cut Pro,LearnQuest,https://www.coursera.org/learn/mastering-final-cut-pro,mastering-final-cut-pro,"Very disappointed with this course.It's not a course where someone teaches and you can get excited. Only shows the interface with someone reading a script in the background. Extremely boring. I tried to get through it, but just couldn't. Courses on Creative Live or learning from some free Youtube videos are (sadly) much better than paying for this course.I can honestly say that will all the courses I've taken online, this was the worst for me.Sorry LearnQuest.",By Blaine L,"Apr 16, 2020",2
Removing Barriers to Change,University of Pennsylvania,https://www.coursera.org/learn/removing-barriers-to-change,removing-barriers-to-change,The course is amazing! I have learned a lot of new things and refreshed old ones. I have gained more insights than before! Can definitely recommend it!,By Marcel W,"Aug 05, 2020",5
Tricky American English Pronunciation,"University of California, Irvine",https://www.coursera.org/learn/tricky-american-english-pronunciation,tricky-american-english-pronunciation,"If you already speak English at a fairly basic level, then this program is not for you. This program caters to people interested in learning English with a little to no fundamental knowledge of the language. While the course is called ""Tricky American English Pronunciation,"" the content does not cover words that are written in a manner that a non-speaker would mistaken during their pronunciation. As a reader, there are times where I comprehend a particular word but would not link the word to a particular pronunciation due to a lack of verbal communication. Words such as 'epitome,' or 'colonel,' would be better categorized as ""tricky,"" as opposed to introducing colloquial terms such as 'gotta,' or 'wantsa.' The main complaint I have with this course is the actual pronunciation of the lessons. I am uncertain whether it is the sound quality of the audio files or whether the person recording is unable to pronounce the words they're supposed to be demonstrating. The sound bits are often nasally and contains an accent different to what a native speaker would sound like. The program does not appear to have an unenroll feature either, but that may be due to the ongoing promotion for the price of the program.",By Deleted A,"Apr 21, 2020",1
Managing an Agile Team,University of Virginia,https://www.coursera.org/learn/uva-darden-agile-team-management,uva-darden-agile-team-management,"The Assignments are vague and broad, how can we be asked to take any project and design Trello board for it, alteast the instructor can provide a sample project and guide with high level requirements for the project.Also the content has been unnecessarily elongated with interviews of industry experts , the course size could easily be cut down by half, by removing atleast some of the expert interviews",By Pradnya P B,"Oct 10, 2019",1
International Law in Action: A Guide to the International Courts and Tribunals in The Hague,Universiteit Leiden,https://www.coursera.org/learn/international-law-in-action,international-law-in-action,"It is not free. They just sell the certificates. There is not any free statement about accomplishment of the course, so nobody will knows that you have completed it. In the future you have not got anything to show in your CV. I want my Statement of Accomplishment.",By Matlab A,"Mar 09, 2017",1
"Competencias Laborales: Perfiles, Evaluación y Capacitación.",Universidad de Chile,https://www.coursera.org/learn/competencias-lab,competencias-lab,"Eco en todos los vídeos explicativos. Información bibliográfica incompleta de los textos. Mala redacción de las preguntas en los quiz. En los quiz se evalúa la capacidad de recordar fraces exactas, más que el entendimiento y capacidad de aplicación de los conceptos. Extremadamente errados tiempos estimados de demora en las actividades, recordar que no solo leemos; leemos, comprendemos, almacenamos, y cuestionarnos la información.Las evaluaciones de compañeros sobre los trabajos son inadecuadas debido a su corta comprención de lo escrito, piensan que todo estará extremadamente explicito y que se separará el trabajo por preguntas o items exatos (los de las instrucciones), cuando esto a veces no es adecuado para el desarrollo del trabajo.",By Ariel C,"Apr 07, 2018",1
Getting started with TensorFlow 2,Imperial College London,https://www.coursera.org/learn/getting-started-with-tensor-flow2,getting-started-with-tensor-flow2,Course is very well designed and very well for learning tensorflow higher level api's. Peer graded assignment was very frustrating as it will take so much time to reflect that you are passed or not. Happy Learning!!,By Akshay K A,"May 18, 2020",4
Geopolitics of Europe,Sciences Po,https://www.coursera.org/learn/geopolitics-europe,geopolitics-europe,"I was very excited to start this course because I am an aspiring international relations student, but was disappointed almost immediately. First, this course is advertised as English but majority of the material is French with English subtitles. Subtitles are fine, but the problem with this material is that not all things are translated - so the speakers are translated but the diagrams/charts/powerpoint slides are all in French. I am fine with using a right-click on chrome for google translation, but this does not work for the pictures which contain French text.Also, the material, while very interesting, is very outdated. I don't know when this course was designed, but most of the material's diagrams and statistics are from 2012-2014. They project how perceptions of Europe might be for the future, but the ""future"" for this course is 2016, which is 4 years ago now. I don't think it it fair to pay for a course where the facts and figures don't even hold validity while I am taking it. I wanted to learn about the geopolitics of Europe today, not the geopolitics of Europe from 2014. I think there is a major gap of important material here.Overall, the course material was interesting, but definitely not what I was hoping for. I don't feel I have learned much either because the assessments are quizzes between 4-6 questions that you could answer if you just googled them. I wish the instructors would update the course and then it would be more valuable. ",By Angela D,"Apr 05, 2020",1
Osteoarchaeology: The Truth in Our Bones,Universiteit Leiden,https://www.coursera.org/learn/truthinourbones-osteoarchaeology-archaeology,truthinourbones-osteoarchaeology-archaeology,"This is an awesome course but they have the cheesy ""Peer-Reviewed"" assignments. Even if you get 100% on the quizzes you still must do peer reviewed assignments. The course is basically impossible because the other ""learners"" are assholes who give you 3/5 and fail your ass.",By Ziggy,"Apr 08, 2018",1
Mathematics for Machine Learning: PCA,Imperial College London,https://www.coursera.org/learn/pca-machine-learning,pca-machine-learning,"This course does not include real-world examples as compared with other 2 courses in the series. The other lecturers energy was quite obvious and the lecturer in this course does nothing extra. This is the traditional teaching method where we should keep on grasping theory without understanding applications.While I have learned many new concepts, I am 100% unsure I have not understood the course in general.The assignments in the course was poorly constructed and the lectures did not explain anything more about numpy methods.I will not recommend this course to anyone.",By Hashaam S,"Dec 30, 2018",1
Object Oriented Programming in Java,University of California San Diego,https://www.coursera.org/learn/object-oriented-java,object-oriented-java,"Support for the course has ended and the exercises are no longer compatible with new versions of Java. After solving an OpenGL issue and installing JRE 1.8, the starter program still wasn't working as it should.",By Frank T,"Oct 03, 2019",1
